Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
2023-11-05,Sun,11,Away,D 1–1,Liverpool,Luton Town,Y,RW,90,0,0,0,0,2,0,0,0,43,1,0,0,0.6,0.6,0.6,4,0,26,31,4,34,2,3,1,402,85,10,12,14,16,1,2,0.1,3,1,3,1,30,1,0,0,0,3,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,32,7,114.0,47.0,1,2,4,0,38,18,0,8,0,38.7,6.8,7.8,2023-11-05 16:30:00+00:00,90,0,11,0,4511117,21.0,2,178282,198417,20135,129,2023-11-05
2023-11-12,Sun,12,Home,W 3–0,Liverpool,Brentford,Y,RW,90,2,0,0,0,3,2,0,0,64,0,0,0,1.0,1.0,0.1,2,0,39,55,6,53,2,1,0,547,185,27,31,8,15,3,7,0.2,1,5,0,0,54,1,0,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,38,9,258.0,104.0,2,2,2,1,59,13,3,43,1,23.3,14.3,69.4,2023-11-12 14:00:00+00:00,90,0,12,0,4667474,50.0,16,139478,170993,31515,129,2023-11-12
2023-11-25,Sat,13,Away,D 1–1,Liverpool,Manchester City,Y,RW,90,0,1,0,0,0,0,0,0,36,1,0,2,0.0,0.0,0.2,3,1,21,29,5,27,2,4,3,304,138,13,15,7,10,1,1,0.2,3,2,4,1,27,0,0,1,0,1,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,2,21,13,4,147.0,39.0,2,1,2,3,31,6,0,21,0,39.5,7.9,29.6,2023-11-25 12:30:00+00:00,90,0,13,0,4948314,10.0,5,250086,272298,22212,130,2023-11-25
2023-12-03,Sun,14,Home,W 4–3,Liverpool,Fulham,Y,"RW,AM",90,0,1,0,0,2,1,0,0,53,1,0,1,0.8,0.8,0.5,5,1,25,42,7,36,2,3,1,398,129,13,16,8,17,3,3,0.2,5,1,5,0,36,4,0,0,0,1,4,0,2,5,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,1,0,1,0,0,0,1,14,38,5,198.0,127.0,4,1,1,2,41,15,0,18,0,53.8,11.5,31.2,2023-12-03 14:00:00+00:00,90,0,14,0,5142512,30.0,5,190003,211228,21225,131,2023-12-03
2023-12-06,Wed,15,Away,W 2–0,Liverpool,Sheffield Utd,Y,RW,66,0,0,0,0,4,2,0,0,36,0,0,1,0.4,0.4,0.1,3,0,23,28,3,28,1,2,1,351,76,9,12,11,11,1,2,0.1,1,1,0,0,27,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,11,23,6,132.0,40.0,0,2,1,2,30,10,0,2,1,16.3,7.2,7.2,2023-12-06 19:30:00+00:00,66,0,15,0,5182581,48.0,3,36888,54767,17879,131,2023-12-06
2023-12-09,Sat,16,Away,W 2–1,Liverpool,Crystal Palace,Y,"RW,FW",90,1,1,0,0,3,1,0,0,51,0,1,1,0.3,0.3,0.0,2,1,31,40,7,41,1,0,0,403,147,24,26,7,11,0,1,0.2,1,2,3,0,40,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,22,26,6,171.0,67.0,3,1,4,2,42,10,3,36,0,15.3,10.2,53.6,2023-12-09 12:30:00+00:00,90,0,16,0,5220877,33.0,13,27580,70573,42993,131,2023-12-09
2023-12-17,Sun,17,Home,D 0–0,Liverpool,Manchester Utd,Y,RW,90,0,0,0,0,6,4,0,0,73,1,0,0,0.4,0.4,0.4,11,0,39,58,8,58,6,2,1,535,147,26,32,13,18,0,2,0.3,5,3,3,0,55,2,0,0,0,1,2,0,1,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,50,10,269.0,145.0,1,2,4,2,60,15,0,8,1,57.3,16.8,26.0,2023-12-17 16:30:00+00:00,90,0,17,0,5590425,85.0,3,313196,333941,20745,132,2023-12-17
2023-12-23,Sat,18,Home,D 1–1,Liverpool,Arsenal,Y,"RW,LW",90,1,0,0,0,3,2,1,0,37,1,0,0,0.3,0.3,0.5,3,1,11,21,3,27,3,4,1,188,63,4,8,6,9,1,2,0.1,2,1,1,0,21,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,15,25,10,278.0,116.0,2,3,4,3,25,12,1,23,0,24.7,12.1,40.0,2023-12-23 17:30:00+00:00,90,0,18,0,5669668,56.0,7,90863,123451,32588,132,2023-12-23
2023-12-26,Tue,19,Away,W 2–0,Liverpool,Burnley,Y,RW,90,0,0,0,0,3,2,0,0,46,0,0,2,0.4,0.4,0.0,3,0,31,37,7,37,4,0,0,410,116,20,21,11,15,0,0,0.2,0,4,5,0,37,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,15,26,7,160.0,86.0,2,2,2,1,39,9,0,7,1,5.1,5.7,6.0,2023-12-26 17:30:00+00:00,90,0,19,0,5803609,46.0,3,128537,146293,17756,133,2023-12-26
2024-01-01,Mon,20,Home,W 4–2,Liverpool,Newcastle Utd,Y,RW,90,2,1,1,2,4,2,0,0,60,0,0,2,2.7,1.1,1.5,10,2,28,43,4,37,12,3,1,465,138,15,18,11,16,2,3,1.2,4,2,2,1,40,3,0,0,1,2,2,0,0,7,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,13,47,18,327.0,251.0,4,11,3,2,45,22,3,52,0,49.2,27.0,98.4,2024-01-01 20:00:00+00:00,90,0,20,0,5834415,122.0,16,21922,129282,107360,133,2024-01-01
2024-02-17,Sat,25,Away,W 4–1,Liverpool,Brentford,N,RW,47,1,1,0,0,2,1,0,0,30,0,0,1,0.5,0.5,0.4,3,2,21,23,2,27,5,2,2,284,67,15,16,6,7,0,0,0.2,2,0,1,0,22,1,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,9,20,6,151.0,126.0,3,3,4,2,26,6,2,32,0,23.8,10.8,52.8,2024-02-17 12:30:00+00:00,46,0,25,0,2184059,31.0,11,136727,241977,105250,130,2024-02-17
2024-03-10,Sun,28,Home,D 1–1,Liverpool,Manchester City,N,RW,30,0,0,0,0,3,1,0,0,24,0,0,0,0.2,0.2,0.4,2,0,11,18,4,16,2,1,0,225,79,4,5,3,6,3,4,0.1,1,2,1,0,18,0,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,6,89.0,48.0,0,2,2,1,17,4,0,2,0,14.3,4.7,1.8,2024-03-10 15:45:00+00:00,29,0,28,0,2323501,31.0,1,67599,155311,87712,130,2024-03-10
2024-03-31,Sun,30,Home,W 2–1,Liverpool,Brighton,Y,"RW,FW",90,1,0,0,0,12,4,0,0,68,0,0,1,1.5,1.5,0.1,9,1,29,39,5,46,5,9,3,440,151,19,23,6,7,4,4,0.1,1,4,1,0,37,0,0,0,0,0,0,0,2,7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,19,47,21,248.0,144.0,5,3,5,3,51,22,0,14,0,15.5,17.1,39.6,2024-03-31 13:00:00+00:00,90,0,30,0,3332990,116.0,7,1004603,1009883,5280,132,2024-03-31
2024-04-04,Thu,31,Home,W 3–1,Liverpool,Sheffield Utd,Y,RW,59,0,0,0,0,3,2,0,0,43,0,0,0,0.1,0.1,0.0,2,0,27,34,6,30,0,1,1,375,144,19,21,8,13,0,0,0.2,1,4,5,0,33,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,1,158.0,51.0,2,0,2,2,36,9,0,6,0,19.1,5.2,7.8,2024-04-04 18:30:00+00:00,59,0,31,0,3879175,25.0,1,544816,548441,3625,133,2024-04-04
2024-04-07,Sun,32,Away,D 2–2,Liverpool,Manchester Utd,Y,RW,90,1,0,1,1,5,2,0,0,44,0,0,0,1.3,0.5,0.6,7,0,25,34,7,28,1,2,1,344,99,16,21,5,8,2,3,0.2,3,2,6,0,34,0,0,2,0,1,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,9,34,7,129.0,55.0,2,0,2,3,35,13,1,24,0,43.3,13.9,45.8,2024-04-07 14:30:00+00:00,90,0,32,0,4005663,50.0,8,124763,166195,41432,134,2024-04-07
2024-04-14,Sun,33,Home,L 0–1,Liverpool,Crystal Palace,Y,RW,90,0,0,0,0,2,1,0,0,41,0,0,1,0.4,0.4,0.4,6,0,22,27,4,22,2,2,0,358,85,11,11,6,9,3,3,0.3,5,1,1,0,25,2,1,0,1,2,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,10,29,9,127.0,69.0,0,1,6,2,28,8,0,5,0,63.4,12.1,16.8,2024-04-14 13:00:00+00:00,90,0,33,0,4140348,41.0,2,130716,163217,32501,135,2024-04-14
2024-04-21,Sun,34,Away,W 3–1,Liverpool,Fulham,N,RW,17,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,3,7,2,5,0,0,0,69,23,1,1,1,1,1,1,0.0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,5,0,18.0,14.0,1,0,0,0,7,2,0,1,0,0.3,0.2,1.6,2024-04-21 15:30:00+00:00,16,0,34,0,4526806,0.0,1,312643,351992,39349,135,2024-04-21
2024-04-24,Wed,29,Away,L 0–2,Liverpool,Everton,Y,RW,90,0,0,0,0,7,2,0,0,37,0,0,1,0.6,0.6,0.5,7,0,21,26,5,29,0,0,0,343,56,10,13,8,10,2,2,0.1,1,1,3,0,26,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,25,11,107.0,18.0,0,0,1,1,32,9,0,6,0,15.3,8.4,3.2,2024-04-24 19:00:00+00:00,90,0,34,0,4526806,65.0,2,312643,351992,39349,135,2024-04-24
2024-04-27,Sat,35,Away,D 2–2,Liverpool,West Ham,N,RW,12,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,9,11,2,8,2,0,0,97,41,7,9,2,2,0,0,0.0,0,0,0,0,10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,2,57.0,50.0,1,1,1,0,11,3,0,3,0,2.4,0.7,0.6,2024-04-27 11:30:00+00:00,11,0,35,0,3436871,4.0,1,-1010233,35217,1045450,136,2024-04-27
2024-05-05,Sun,36,Home,W 4–2,Liverpool,Tottenham,Y,RW,90,1,1,0,0,6,4,0,0,49,0,0,0,1.2,1.2,0.6,6,2,24,36,5,40,4,1,0,389,177,15,16,6,10,3,3,0.3,3,4,1,0,34,1,0,0,0,4,1,0,1,4,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,33,11,197.0,121.0,2,3,3,5,44,14,0,40,0,41.2,21.2,65.8,2024-05-05 15:30:00+00:00,90,0,36,0,2850876,105.0,13,-595479,9101,604580,135,2024-05-05
2024-05-13,Mon,37,Away,D 3–3,Liverpool,Aston Villa,Y,RW,90,0,0,0,0,1,0,0,0,34,1,0,0,0.1,0.1,0.3,4,0,18,26,4,28,2,2,2,289,97,11,13,5,7,2,2,0.1,2,0,3,1,24,0,0,1,0,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,1,12,21,4,158.0,76.0,1,2,3,2,33,13,0,13,0,30.6,5.4,10.4,2024-05-13 19:00:00+00:00,90,0,37,0,2470126,13.0,2,-351724,18268,369992,134,2024-05-13
2024-05-19,Sun,38,Home,W 2–0,Liverpool,Wolves,Y,RW,90,0,0,0,0,7,4,0,0,52,2,0,1,1.1,1.1,0.0,4,1,20,33,2,36,6,4,1,209,43,13,16,2,8,1,1,0.1,0,0,2,0,33,0,0,0,0,4,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,2,0,2,0,0,1,1,0,1,0,0,0,0,13,39,11,234.0,97.0,2,4,4,1,42,16,0,6,1,4.5,13.2,16.6,2024-05-19 15:00:00+00:00,90,0,38,0,2638410,111.0,6,110331,164287,53956,134,2024-05-19
